CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-2,-4,-7,-6,-8,-10,86,79,69,1038,1036,1033,10,10,5,24,14,,0.00,5,Snow,249<br />
2002-1-2,0,-3,-7,-5,-9,-12,86,67,48,1035,1033,1031,10,10,6,35,16,,0.00,6,Snow,259<br />
2002-1-3,-4,-7,-10,-6,-10,-15,93,78,67,1035,1033,1033,10,9,1,26,13,,0.00,5,Fog,74<br />
2002-1-4,-6,-10,-14,-13,-14,-16,92,74,58,1036,1034,1032,,,,23,13,,0.00,,,80<br />
2002-1-5,-5,-10,-15,-9,-13,-17,92,84,68,1038,1037,1036,10,9,7,10,3,,0.00,0,Fog,40<br />
2002-1-6,-4,-10,-16,-7,-12,-19,93,83,74,1037,1034,1031,10,5,0,13,5,,0.00,2,Fog-Snow,244<br />
2002-1-7,-1,-3,-4,-2,-3,-6,100,97,86,1031,1030,1029,6,3,1,21,10,,0.00,7,Fog-Snow,87<br />
2002-1-8,-4,-4,-5,-4,-5,-6,100,96,86,1036,1033,1029,6,3,1,13,8,,0.00,7,Fog-Snow,147<br />
2002-1-9,-4,-6,-6,-4,-6,-8,100,94,86,1039,1037,1036,4,3,0,11,6,,0.00,7,Fog-Snow,210<br />
2002-1-10,-6,-9,-11,-6,-9,-13,100,94,85,1038,1036,1034,5,1,0,10,5,,0.00,3,Fog-Snow,251<br />
2002-1-11,-5,-8,-11,-6,-9,-12,100,93,86,1036,1034,1034,4,1,0,8,3,,0.00,3,Fog,101<br />
2002-1-12,0,-5,-10,0,-3,-11,100,98,86,1035,1033,1032,6,3,1,11,5,,0.00,5,Fog-Snow,174<br />
2002-1-13,0,-2,-3,0,-2,-4,100,97,86,1032,1031,1030,8,2,0,19,6,,0.00,6,Fog-Snow,133<br />
2002-1-14,-3,-4,-5,-3,-5,-6,100,90,86,1030,1029,1027,10,7,3,24,14,,0.00,7,Snow,105<br />
2002-1-15,-5,-6,-6,-6,-7,-7,100,92,86,1027,1022,1017,6,4,3,21,10,,0.00,8,Fog-Snow,116<br />
2002-1-16,-2,-4,-6,-3,-6,-8,100,91,86,1026,1021,1017,10,5,1,13,6,,0.00,7,Snow,255<br />
2002-1-17,1,-3,-7,-3,-4,-7,100,88,75,1026,1024,1023,10,8,0,13,8,,0.00,5,Fog,122<br />
2002-1-18,0,-3,-6,-2,-3,-5,100,98,69,1025,1023,1023,8,3,0,8,5,,0.00,6,Fog-Snow,167<br />
2002-1-19,5,1,-3,1,-2,-6,100,78,61,1023,1021,1019,10,10,8,32,10,,0.00,6,Rain,230<br />
2002-1-20,7,4,3,2,1,0,87,76,66,1025,1022,1018,10,10,8,27,23,48,0.00,6,Rain,251<br />
2002-1-21,9,6,1,6,3,0,100,81,66,1020,1018,1015,10,10,3,42,29,71,0.00,5,Fog-Rain,242<br />
2002-1-22,11,3,-3,2,1,-3,100,78,54,1017,1014,1012,10,2,0,27,10,,0.00,1,Fog,248<br />
2002-1-23,8,4,1,3,1,-1,93,82,66,1017,1012,1006,,,,14,8,,0.00,,,163<br />
2002-1-24,11,6,1,4,3,1,100,82,58,1011,1007,1004,10,10,10,35,11,58,0.00,6,Rain,227<br />
2002-1-25,7,4,2,4,2,0,93,80,70,1023,1019,1011,10,10,9,37,24,55,0.00,6,Rain,240<br />
2002-1-26,12,6,1,4,1,-2,93,66,41,1022,1019,1015,10,10,10,37,16,60,0.00,6,Rain,240<br />
2002-1-27,12,10,8,8,3,-4,87,61,33,1019,1014,1010,10,10,10,61,34,97,0.00,6,Rain,251<br />
2002-1-28,15,12,10,8,6,4,82,65,51,1029,1024,1019,10,10,10,50,35,77,0.00,4,Rain,254<br />
