EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,2,-1,-5,-9,-11,-14,60,52,42,1023,1019,1017,16,16,16,39,21,50,0.00,0,,308<br />
2002-1-2,3,-1,-4,-8,-9,-12,63,55,46,1026,1023,1021,16,16,16,32,24,39,0.00,1,,302<br />
2002-1-3,2,0,-2,-7,-9,-10,61,53,46,1021,1015,1011,16,16,16,19,14,,0.00,5,,341<br />
2002-1-4,4,1,-1,-7,-8,-11,59,50,41,1019,1016,1011,16,16,16,29,19,39,0.00,3,,305<br />
2002-1-5,6,3,1,-7,-9,-12,44,41,35,1020,1018,1016,16,16,16,27,19,37,0.00,5,,263<br />
2002-1-6,4,2,1,3,-3,-10,93,66,39,1016,1006,992,16,14,6,42,14,50,17.27,7,Rain-Snow,76<br />
2002-1-7,3,0,-3,0,-1,-6,92,84,75,1007,1001,993,16,10,2,32,24,53,0.51,8,Snow,354<br />
2002-1-8,2,-1,-4,-6,-8,-12,78,59,48,1015,1013,1007,16,16,16,34,21,42,0.00,4,,290<br />
2002-1-9,6,3,1,0,-3,-9,86,68,50,1013,1007,1003,16,15,10,29,21,34,2.29,7,Rain-Snow,234<br />
2002-1-10,11,8,5,2,1,-1,70,60,53,1010,1008,1004,16,16,16,23,16,34,0.00,6,,248<br />
2002-1-11,7,6,5,3,1,-5,86,68,49,1011,1007,1004,16,15,6,39,11,52,6.10,7,Rain,295<br />
2002-1-12,8,6,4,1,-3,-6,73,52,46,1015,1011,1005,16,16,16,26,19,45,0.00,4,,245<br />
2002-1-13,7,6,3,2,-3,-8,83,56,38,1012,1001,995,16,16,14,55,24,72,0.51,6,Rain,282<br />
2002-1-14,6,4,2,2,-5,-8,83,54,42,1021,1017,1013,16,16,16,27,18,42,0.00,6,,301<br />
2002-1-15,10,7,3,3,1,-4,100,74,39,1013,1011,1008,16,11,0,35,13,48,0.00,5,Fog,347<br />
2002-1-16,6,4,3,-3,-6,-7,55,49,41,1023,1020,1014,16,16,16,39,26,53,0.00,6,,313<br />
2002-1-17,8,4,2,-1,-4,-8,85,54,39,1020,1015,1011,16,15,8,27,16,47,0.00,6,Snow,258<br />
2002-1-18,3,1,-1,-8,-9,-12,52,44,37,1024,1019,1016,16,16,16,37,21,48,0.00,4,,300<br />
