EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,1,-4,-10,-4,-12,-16,70,63,53,1023,1020,1013,32,27,24,27,19,34,0.00,5,,333<br />
2003-1-2,-7,-10,-13,-15,-17,-18,67,60,53,1028,1026,1022,32,27,24,27,19,37,0.00,4,,41<br />
2003-1-3,-5,-7,-8,-8,-12,-15,86,69,58,1026,1022,1017,32,11,2,29,23,42,0.00,8,Snow,72<br />
2003-1-4,-3,-4,-6,-6,-8,-11,86,81,63,1017,1015,1014,24,10,1,27,14,37,0.00,8,Snow,25<br />
2003-1-5,-3,-4,-6,-7,-8,-8,86,81,69,1020,1018,1017,32,23,8,10,5,,0.00,8,Snow,92<br />
2003-1-6,-3,-7,-10,-6,-8,-15,93,82,67,1017,1015,1014,24,10,3,26,5,34,0.00,7,Snow,325<br />
2003-1-7,-4,-11,-17,-6,-14,-19,86,76,62,1017,1008,991,24,17,2,23,14,29,0.00,5,Snow,205<br />
2003-1-8,0,-3,-8,-2,-6,-14,93,77,54,991,989,986,24,12,1,24,14,32,0.00,7,Snow,276<br />
2003-1-9,-10,-12,-14,-13,-17,-19,79,67,53,999,993,985,24,17,2,26,16,,0.00,6,Snow,357<br />
2003-1-10,-12,-14,-17,-18,-19,-21,78,67,57,1004,1002,998,24,20,1,16,10,,0.00,5,Snow,281<br />
2003-1-11,-11,-14,-18,-17,-20,-22,78,65,52,1012,1008,1003,32,24,10,26,11,,0.00,6,Snow,263<br />
2003-1-12,-6,-10,-14,-12,-16,-19,73,64,54,1019,1017,1012,32,26,11,26,14,35,0.00,5,Snow,246<br />
2003-1-13,-4,-10,-17,-7,-13,-23,86,69,50,1016,1008,1002,32,15,1,40,21,53,0.00,5,Snow,234<br />
2003-1-14,-17,-20,-23,-23,-26,-28,65,57,50,1022,1020,1017,32,28,24,23,13,32,0.00,2,Snow,273<br />
2003-1-15,-13,-19,-24,-19,-23,-28,72,63,52,1020,1018,1016,24,21,10,19,3,,0.00,5,Snow,84<br />
2003-1-16,-7,-15,-23,-12,-21,-28,73,63,50,1023,1018,1012,32,24,16,26,16,37,0.00,4,Snow,223<br />
2003-1-17,-8,-16,-23,-13,-25,-29,73,57,46,1020,1017,1012,32,25,10,24,16,32,0.00,3,Snow,313<br />
2003-1-18,-8,-16,-24,-12,-21,-30,73,65,59,1020,1015,1010,24,20,3,16,10,,0.00,5,Snow,178<br />
2003-1-19,-7,-10,-12,-12,-15,-17,85,65,46,1009,1006,1000,32,19,2,21,14,,0.00,7,Snow,184<br />
2003-1-20,-7,-13,-19,-11,-19,-27,79,60,47,1015,1003,996,24,20,1,37,21,48,0.00,3,Snow,260<br />
2003-1-21,-20,-22,-25,-28,-30,-31,59,51,45,1018,1017,1015,24,24,24,32,21,45,0.00,0,,287<br />
2003-1-22,-19,-23,-27,-26,-30,-33,58,52,46,1018,1016,1014,24,23,16,35,21,45,0.00,3,Snow,280<br />
2003-1-23,-14,-18,-21,-21,-24,-28,61,57,50,1019,1016,1014,24,22,16,35,18,45,0.00,5,Snow,317<br />
