CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,10,7,3,4,2,1,93,80,54,1018,1015,1011,10,10,10,21,11,,0.00,1,,38<br />
2001-1-2,14,7,1,10,5,-4,100,83,50,1018,1016,1014,10,9,6,40,11,61,0.00,2,,130<br />
2001-1-3,15,12,9,13,11,8,100,96,88,1017,1015,1012,10,8,4,39,21,61,0.00,3,Rain-Thunderstorm,183<br />
2001-1-4,12,9,6,11,9,5,100,95,88,1018,1014,1008,10,8,4,34,11,58,0.00,4,Fog-Rain-Thunderstorm,165<br />
2001-1-5,14,10,7,10,8,5,100,87,67,1017,1015,1009,10,10,9,34,10,,0.00,3,,5<br />
2001-1-6,16,13,12,14,12,9,94,86,67,1016,1014,1013,10,10,10,42,32,64,0.00,5,,151<br />
2001-1-7,18,14,11,13,9,5,94,70,51,1015,1013,1010,10,10,10,32,19,53,0.00,3,,155<br />
2001-1-8,15,10,6,14,11,6,100,97,88,1011,1008,1005,10,8,2,34,21,52,0.00,4,Rain-Thunderstorm,135<br />
2001-1-9,13,8,4,7,6,3,100,87,67,1021,1015,1008,10,10,8,14,6,,0.00,2,Rain-Thunderstorm,97<br />
2001-1-10,14,9,5,11,7,4,100,84,58,1023,1022,1021,10,10,7,29,16,42,0.00,3,,145<br />
2001-1-11,15,13,11,12,11,9,100,89,67,1022,1021,1021,10,10,10,34,18,45,0.00,4,,154<br />
2001-1-12,14,11,8,12,10,7,100,93,82,1021,1017,1014,10,8,6,14,6,,0.00,4,,87<br />
2001-1-13,13,10,7,10,7,3,100,87,66,1013,1011,1010,10,8,6,16,6,,0.00,4,,23<br />
2001-1-14,12,8,5,3,-1,-4,71,57,37,1015,1011,1009,10,10,10,26,18,,0.00,2,,20<br />
2001-1-15,8,4,2,4,2,-1,93,77,65,1020,1017,1015,10,10,10,21,14,,0.00,4,,19<br />
2001-1-16,9,7,4,6,5,4,100,93,76,1022,1021,1020,7,5,4,13,8,,0.00,6,,25<br />
2001-1-17,11,8,6,10,7,4,100,88,76,1021,1020,1019,8,7,4,35,8,,0.00,5,Rain,117<br />
2001-1-18,13,10,7,10,8,6,100,93,77,1020,1019,1018,10,8,4,14,6,,0.00,4,Rain,102<br />
2001-1-19,11,8,6,9,7,5,100,91,67,1020,1019,1017,10,9,5,19,11,,0.00,5,Rain,80<br />
2001-1-20,12,8,5,8,7,5,100,88,72,1017,1017,1016,10,10,10,19,10,,0.00,3,,31<br />
2001-1-21,13,8,4,8,6,4,100,90,67,1022,1018,1017,10,9,8,14,8,,0.00,1,,40<br />
2001-1-22,13,8,4,11,7,4,100,93,72,1023,1022,1021,10,8,5,14,6,,0.00,3,,107<br />
2001-1-23,14,10,7,12,9,7,100,91,82,1021,1017,1015,10,10,9,39,18,,0.00,4,,141<br />
2001-1-24,15,11,8,13,11,7,100,92,82,1018,1017,1015,10,9,7,40,10,60,0.00,5,,152<br />
2001-1-25,16,14,13,15,13,11,100,95,88,1016,1015,1013,10,9,8,45,29,64,0.00,5,,159<br />
2001-1-26,15,11,7,14,11,7,100,97,88,1015,1013,1012,10,9,5,35,18,,0.00,4,Rain,163<br />
2001-1-27,12,9,7,10,8,6,100,95,87,1012,1007,1003,10,9,5,29,16,,0.00,4,Rain,139<br />
2001-1-28,13,9,6,11,8,5,100,89,67,1003,1001,997,10,9,7,53,10,89,0.00,4,Rain,118<br />
2001-1-29,13,11,10,12,10,9,100,95,88,1000,998,997,10,9,1,48,26,76,0.00,4,Rain-Thunderstorm,119<br />
2001-1-30,10,8,7,9,8,6,100,96,93,1005,1001,998,10,6,3,14,8,,0.00,6,Rain,23<br />
2001-1-31,11,7,4,6,4,3,100,85,66,1007,1006,1005,10,10,7,19,10,,0.00,2,,25<br />
2001-2-1,8,6,4,5,2,-4,100,78,53,1009,1007,1006,10,9,4,32,16,52,0.00,4,Rain,24<br />
2001-2-2,8,4,1,-3,-7,-11,70,48,29,1020,1014,1009,10,10,10,47,27,64,0.00,1,,4<br />
2001-2-3,10,4,-2,6,0,-7,100,81,54,1020,1017,1015,10,8,6,23,5,,0.00,4,,39<br />
2001-2-4,13,9,6,11,9,5,100,96,88,1019,1017,1016,10,8,5,26,10,42,0.00,4,,170<br />
2001-2-5,14,11,9,12,11,8,100,93,82,1020,1018,1017,10,10,9,29,21,,0.00,3,,170<br />
2001-2-6,16,12,8,12,9,7,100,85,59,1026,1023,1020,10,9,8,21,13,,0.00,2,,161<br />
2001-2-7,16,11,6,12,9,5,100,90,63,1025,1023,1020,10,7,5,29,10,,0.00,3,,160<br />
2001-2-8,16,11,6,12,7,-2,100,71,36,1020,1015,1012,10,10,10,52,26,77,0.00,2,,153<br />
2001-2-9,15,12,10,13,11,8,100,95,82,1015,1014,1013,10,9,6,39,26,53,0.00,3,Rain-Thunderstorm,159<br />
2001-2-10,15,11,7,10,8,7,100,84,63,1026,1019,1015,10,9,6,26,10,,0.00,3,Fog,10<br />
2001-2-11,15,11,7,7,6,3,93,73,51,1031,1029,1026,10,10,10,35,16,60,0.00,3,,15<br />
2001-2-12,16,10,5,8,4,2,93,72,42,1032,1029,1025,,,,16,8,,0.00,,,42<br />
2001-2-13,14,9,4,9,5,2,100,85,44,1025,1020,1017,8,7,4,16,5,,0.00,4,,45<br />
2001-2-14,15,10,6,11,7,3,100,86,67,1022,1020,1018,7,6,5,11,5,,0.00,3,,341<br />
2001-2-15,15,9,4,9,7,3,100,86,63,1029,1026,1023,10,6,4,14,8,,0.00,1,,67<br />
2001-2-16,14,9,4,7,6,3,100,83,55,1030,1029,1028,8,6,5,16,5,,0.00,2,,12<br />
2001-2-17,12,8,5,9,7,4,100,91,67,1028,1025,1023,7,6,4,11,3,,0.00,4,,88<br />
2001-2-18,14,9,4,9,6,4,100,85,51,1025,1023,1022,7,5,3,16,8,,0.00,1,Fog,24<br />
2001-2-19,15,9,3,7,4,-1,100,76,34,1026,1024,1022,9,7,5,23,10,,0.00,1,,17<br />
2001-2-20,13,7,2,10,6,1,100,86,62,1024,1020,1017,8,6,5,16,6,,0.00,2,,311<br />
2001-2-21,14,8,3,6,0,-7,93,61,23,1021,1019,1017,10,8,5,19,8,,0.00,1,,339<br />
2001-2-22,13,7,2,11,6,1,100,87,62,1017,1012,1007,10,8,7,23,6,,0.00,4,,216<br />
2001-2-23,13,11,10,12,10,7,100,90,72,1006,1002,999,9,7,5,24,16,,0.00,5,,164<br />
2001-2-24,13,12,10,11,10,8,100,89,77,1000,998,997,10,8,6,29,19,48,0.00,4,,195<br />
2001-2-25,11,9,7,10,8,5,100,92,81,1001,1000,999,10,9,6,21,13,,0.00,4,Rain,198<br />
2001-2-26,9,6,1,6,2,-2,100,81,65,1006,1000,996,10,9,4,37,21,55,0.00,4,Rain-Thunderstorm,299<br />
