CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-17,-21,-24,-18,-22,-27,92,87,77,1038,1036,1028,24,16,1,14,8,,0.00,5,Snow,209<br />
2002-1-2,-12,-16,-20,-13,-18,-22,100,89,56,1027,1017,1012,24,24,24,14,10,,0.00,5,,181<br />
2002-1-3,-9,-14,-20,-11,-14,-20,100,92,79,1012,1012,1010,24,23,13,21,11,,0.00,6,Rain,243<br />
2002-1-4,1,-6,-12,-2,-7,-13,100,90,75,1016,1014,1013,24,24,19,19,14,,0.00,5,,251<br />
2002-1-5,-2,-7,-12,-2,-6,-12,100,96,93,1027,1022,1016,24,19,0,27,14,,0.00,6,Fog,307<br />
2002-1-6,1,-4,-10,0,-6,-10,100,95,80,1026,1015,1007,24,16,1,29,16,45,0.00,5,Fog,199<br />
2002-1-7,4,-2,-7,3,-2,-8,100,89,80,1008,1003,996,24,24,24,23,16,,0.00,4,,218<br />
2002-1-8,5,2,-1,2,1,-2,93,89,75,1004,998,995,24,24,24,26,16,,0.00,4,,253<br />
2002-1-9,1,-3,-7,-2,-3,-7,100,87,80,1019,1012,1005,24,24,24,35,21,37,0.00,1,,293<br />
2002-1-10,1,-4,-8,-2,-6,-9,100,93,81,1019,1017,1016,24,24,24,19,14,,0.00,2,,235<br />
2002-1-11,1,-3,-6,-3,-5,-8,93,80,64,1026,1021,1015,24,24,24,32,19,47,0.00,3,,280<br />
2002-1-12,-1,-6,-11,-4,-7,-11,100,89,75,1024,1007,995,24,24,24,21,13,,0.00,6,,148<br />
2002-1-13,0,-2,-5,-1,-5,-8,93,85,74,1015,1008,999,24,23,16,37,23,45,0.00,8,Snow,319<br />
2002-1-14,-6,-10,-13,-7,-9,-14,100,92,79,1025,1022,1015,24,20,3,27,16,39,0.00,6,Snow,353<br />
2002-1-15,-8,-11,-13,-8,-11,-14,100,93,79,1024,1021,1019,24,18,3,21,8,,0.00,7,Snow,266<br />
2002-1-16,-10,-13,-17,-11,-13,-17,100,90,79,1024,1021,1020,24,17,1,23,14,,0.00,8,Snow,311<br />
2002-1-17,-16,-20,-24,-17,-21,-26,92,84,66,1030,1027,1024,24,23,16,14,10,,0.00,6,Snow,297<br />
2002-1-18,-6,-12,-17,-9,-12,-18,100,89,74,1023,1013,1003,24,23,13,24,13,37,0.00,8,Snow,246<br />
2002-1-19,-8,-12,-16,-10,-14,-17,93,89,79,1009,1006,1003,24,15,2,21,16,,0.00,8,Snow,95<br />
2002-1-20,-12,-16,-20,-12,-16,-20,100,95,85,1003,1000,999,24,17,2,32,11,,0.00,8,Snow,68<br />
2002-1-21,-20,-23,-27,-21,-28,-32,100,75,64,1012,1007,1001,24,12,3,27,24,29,0.00,7,Snow,51<br />
2002-1-22,-23,-27,-31,-28,-31,-34,76,68,59,1023,1017,1012,24,20,6,19,13,,0.00,5,Snow,349<br />
2002-1-23,-22,-27,-30,-25,-31,-35,77,67,59,1024,1021,1014,24,21,5,13,6,,0.00,5,Snow,43<br />
2002-1-24,-15,-18,-21,-18,-22,-25,85,76,66,1014,1010,1003,24,21,13,23,10,,0.00,5,Snow,180<br />
2002-1-25,-17,-19,-21,-20,-23,-26,85,75,65,1018,1011,1002,24,19,5,23,16,27,0.00,8,Snow,18<br />
2002-1-26,-20,-22,-25,-25,-27,-29,71,67,59,1021,1020,1018,24,22,2,14,11,,0.00,7,Snow,341<br />
2002-1-27,-22,-26,-32,-27,-30,-35,77,69,59,1030,1026,1021,24,22,5,21,13,,0.00,4,Snow,307<br />
2002-1-28,-22,-28,-35,-27,-32,-38,77,71,62,1030,1028,1023,24,24,24,16,10,,0.00,0,,203<br />
2002-1-29,-20,-26,-32,-26,-31,-35,77,70,60,1025,1021,1019,24,23,16,14,11,,0.00,1,,239<br />
2002-1-30,-17,-26,-34,-23,-30,-37,77,71,61,1027,1025,1024,24,21,6,14,8,,0.00,0,,179<br />
2002-1-31,-19,-24,-31,-22,-29,-35,84,73,65,1027,1025,1024,24,17,3,13,5,,0.00,1,,69<br />
2002-2-1,-10,-16,-22,-11,-18,-26,100,82,66,1024,1021,1018,24,23,10,13,8,,0.00,7,Snow,172<br />
2002-2-2,-8,-14,-20,-10,-14,-20,100,92,85,1026,1021,1017,24,24,24,19,10,,0.00,6,Snow,258<br />
2002-2-3,-4,-7,-9,-7,-8,-11,100,89,80,1027,1023,1016,24,24,24,27,11,32,0.00,5,Snow,177<br />
2002-2-4,-3,-8,-13,-6,-11,-14,100,89,80,1028,1023,1015,24,24,24,21,14,,0.00,2,,262<br />
2002-2-5,1,-4,-10,-3,-7,-11,100,84,65,1023,1011,1001,24,24,24,21,14,,0.00,4,,200<br />
2002-2-6,2,-3,-8,-2,-6,-10,87,74,52,1012,1007,998,24,24,24,40,24,52,0.00,4,,279<br />
2002-2-7,-4,-9,-16,-5,-8,-16,100,90,80,1013,1008,1005,24,23,10,21,11,,0.00,5,Snow,71<br />
2002-2-8,-11,-14,-18,-11,-14,-18,100,98,92,1032,1020,1013,24,16,2,23,8,,0.00,6,Snow,35<br />
2002-2-9,-5,-12,-20,-6,-13,-20,100,98,92,1040,1038,1033,24,12,0,24,13,29,0.00,5,Fog-Snow,233<br />
2002-2-10,2,-7,-14,-2,-7,-14,100,90,70,1036,1022,1002,24,21,1,19,10,,0.00,7,Fog,158<br />
2002-2-11,1,-1,-3,0,-3,-7,100,84,69,1021,1009,998,24,17,1,50,29,61,0.00,6,Snow,307<br />
2002-2-12,0,-6,-11,-5,-7,-12,93,80,64,1023,1020,1015,24,24,24,26,18,,0.00,5,,267<br />
2002-2-13,1,-4,-8,-2,-6,-10,93,85,75,1015,1008,1004,24,24,24,23,16,,0.00,5,,247<br />
2002-2-14,1,-4,-10,-3,-7,-11,93,84,65,1017,1014,1008,24,24,24,34,18,,0.00,3,,278<br />
2002-2-15,4,-1,-6,0,-4,-7,93,82,70,1019,1015,1012,24,24,24,29,21,35,0.00,6,,265<br />
2002-2-16,7,-1,-9,1,-3,-9,100,85,61,1021,1016,1006,24,24,24,24,14,,0.00,1,,197<br />
2002-2-17,6,1,-3,1,-2,-5,93,78,61,1006,1002,1000,24,24,24,29,19,,0.00,1,,256<br />
2002-2-18,0,-5,-10,-4,-7,-11,100,87,51,1015,1012,1007,24,17,2,24,13,29,0.00,6,Fog-Snow,48<br />
2002-2-19,-2,-3,-5,-2,-4,-6,100,95,93,1014,1013,1010,24,14,2,27,19,,0.00,7,Snow,103<br />
2002-2-20,1,-3,-7,-1,-4,-10,100,92,64,1022,1012,1008,24,23,11,34,19,32,0.00,3,,204<br />
2002-2-21,3,-4,-12,-3,-9,-14,85,75,48,1029,1024,1014,24,24,24,21,14,,0.00,4,,202<br />
2002-2-22,0,-3,-7,-2,-4,-10,100,88,80,1016,1009,1006,24,20,5,39,18,50,0.00,7,Snow,23<br />
2002-2-23,-9,-15,-21,-12,-19,-24,92,76,62,1029,1024,1017,24,23,16,42,26,52,0.00,3,Snow,343<br />
2002-2-24,-16,-19,-23,-21,-24,-27,85,71,60,1038,1033,1029,24,23,10,26,11,35,0.00,3,Snow,342<br />
2002-2-25,-16,-19,-24,-21,-24,-27,77,71,66,1047,1045,1039,24,23,8,24,16,,0.00,3,Snow,318<br />
2002-2-26,-5,-15,-25,-11,-19,-28,79,70,50,1046,1033,1021,24,24,24,23,14,27,0.00,4,,216<br />
