PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,10,8,6,6,2,-2,86,65,46,1016,1010,1007,16,15,8,34,18,42,15.49,8,Rain,116<br />
2002-1-2,11,8,6,8,5,2,89,78,61,1017,1011,1006,16,16,8,27,16,40,0.76,6,Rain,144<br />
2002-1-3,10,7,3,7,5,2,100,88,71,1028,1024,1017,16,16,16,19,11,,0.76,6,Rain,190<br />
2002-1-4,9,7,5,6,4,0,97,81,52,1028,1024,1018,16,16,16,19,5,,0.00,8,,111<br />
2002-1-5,10,8,6,8,4,1,100,80,63,1021,1018,1014,16,16,14,24,11,,4.32,8,Rain,132<br />
2002-1-6,13,9,6,13,9,3,100,93,69,1018,1012,1007,16,13,8,27,14,39,22.86,7,Rain,165<br />
2002-1-7,15,13,11,13,12,10,100,96,81,1011,1009,1007,16,13,5,27,19,42,28.70,8,Rain,192<br />
2002-1-8,11,9,8,10,8,7,100,94,86,1024,1017,1011,16,14,4,26,18,40,3.81,7,Rain,212<br />
2002-1-9,9,7,4,7,6,4,100,94,77,1026,1025,1024,16,15,0,11,5,,0.00,8,Fog,231<br />
2002-1-10,8,6,4,7,6,4,100,95,80,1028,1027,1024,16,14,2,16,6,,0.00,7,Fog,131<br />
2002-1-11,10,8,6,8,7,6,100,96,80,1028,1022,1013,16,15,11,16,8,,1.02,8,Rain,308<br />
2002-1-12,9,7,4,7,4,2,96,83,71,1030,1021,1011,16,15,5,34,21,48,6.35,6,Rain,204<br />
2002-1-13,6,3,2,3,2,1,97,91,79,1031,1027,1022,16,16,11,13,8,,0.00,7,,64<br />
2002-1-14,5,3,2,3,2,0,100,91,76,1027,1024,1021,16,14,8,23,11,,0.00,7,,51<br />
2002-1-15,4,3,2,2,1,0,92,83,75,1030,1029,1027,16,16,16,11,5,,0.00,8,,156<br />
2002-1-16,4,1,-1,3,1,-2,100,92,86,1030,1025,1022,16,16,11,23,10,,0.00,7,Rain,136<br />
2002-1-17,4,3,2,2,1,-1,93,88,73,1029,1028,1027,16,16,14,13,8,,0.00,8,,169<br />
2002-1-18,5,3,1,5,2,-1,100,94,76,1028,1023,1016,16,11,1,26,11,34,4.57,8,Rain,172<br />
2002-1-19,6,4,3,6,3,2,100,93,76,1020,1016,1012,16,16,8,29,18,40,2.54,8,Rain,196<br />
2002-1-20,7,6,4,6,4,2,100,90,81,1011,1007,1005,16,14,6,35,26,50,6.10,7,Rain,204<br />
2002-1-21,4,3,2,2,2,0,100,91,86,1011,1007,1005,16,16,16,32,23,40,0.00,6,Rain,207<br />
2002-1-22,5,3,2,2,1,1,96,88,73,1020,1013,1010,16,16,16,26,21,39,0.00,7,,207<br />
2002-1-23,7,4,2,7,3,1,100,92,82,1024,1023,1020,16,14,5,42,19,52,1.27,8,Rain,196<br />
2002-1-24,7,6,6,6,6,5,100,95,93,1023,1015,1008,16,13,8,34,24,48,30.73,8,Rain,198<br />
2002-1-25,6,3,1,6,3,1,100,97,86,1007,1005,1003,16,12,2,29,21,40,18.54,8,Rain-Snow,200<br />
2002-1-26,3,1,-1,2,-1,-3,100,89,62,1007,1005,1003,16,13,1,27,19,42,1.78,7,Fog-Snow,185<br />
2002-1-27,2,0,-2,1,0,-3,100,95,82,1016,1012,1007,16,12,0,16,11,,3.30,7,Fog-Rain-Snow,172<br />
2002-1-28,2,-1,-4,1,-2,-6,100,92,70,1024,1019,1015,16,14,3,24,11,,0.00,5,Rain-Snow,28<br />
2002-1-29,1,-1,-2,1,-1,-4,100,93,80,1025,1024,1023,16,9,2,14,8,,1.78,8,Snow,171<br />
2002-1-30,5,3,1,3,3,1,100,92,86,1023,1022,1021,16,16,6,29,18,37,0.76,8,Rain-Snow,196<br />
2002-1-31,5,4,3,4,4,3,100,98,93,1023,1021,1020,16,14,2,21,13,34,6.35,8,Rain,199<br />
2002-2-1,7,5,3,4,3,3,100,93,76,1026,1024,1022,16,15,10,23,13,,0.25,7,Rain,187<br />
2002-2-2,10,6,1,4,1,-1,96,73,48,1024,1021,1018,16,16,16,24,11,,0.25,6,Rain,124<br />
2002-2-3,8,6,3,6,4,2,97,85,71,1032,1026,1017,16,16,16,27,18,37,0.76,5,Rain,190<br />
2002-2-4,8,4,1,3,1,-1,100,80,62,1032,1026,1020,16,16,16,16,8,,0.00,6,,161<br />
2002-2-5,7,4,2,7,4,1,100,93,73,1021,1019,1014,16,15,8,26,11,29,4.06,8,Rain,190<br />
2002-2-6,9,7,5,7,5,3,100,88,64,1019,1011,1008,16,14,6,32,19,48,9.40,8,Rain,189<br />
2002-2-7,7,4,3,5,4,3,100,92,79,1013,1008,1001,16,13,8,23,16,26,17.02,8,Rain,178<br />
2002-2-8,8,6,3,4,4,2,100,90,76,1037,1024,1010,16,16,16,27,19,40,0.00,6,,209<br />
2002-2-9,12,7,3,2,1,-2,96,67,43,1037,1034,1029,16,16,16,23,8,,0.00,6,,121<br />
2002-2-10,9,6,3,6,2,-2,93,81,55,1036,1028,1023,16,16,8,37,13,48,0.25,7,Rain,212<br />
2002-2-11,7,4,1,2,0,-3,100,79,49,1041,1039,1036,16,16,16,24,13,32,0.00,3,,53<br />
2002-2-12,7,3,-1,1,-1,-2,100,82,60,1037,1028,1021,16,16,16,26,16,,0.00,6,,11<br />
2002-2-13,6,2,-1,3,1,-1,100,90,76,1028,1024,1020,16,16,14,13,6,,0.00,5,,123<br />
2002-2-14,9,5,1,3,2,0,100,85,61,1030,1028,1025,16,15,8,19,11,,0.00,3,,18<br />
2002-2-15,11,7,2,4,1,-4,100,73,39,1024,1021,1017,16,15,8,21,14,,0.00,2,,48<br />
2002-2-16,9,7,4,7,3,-4,100,85,44,1019,1016,1012,16,15,8,16,8,,1.78,7,Fog-Rain,170<br />
2002-2-17,8,6,3,7,6,3,100,99,90,1012,1011,1010,16,12,1,19,6,,1.27,7,Fog-Rain,181<br />
2002-2-18,11,8,5,7,6,3,100,90,63,1012,1009,1003,16,16,13,21,11,,2.54,7,Rain,174<br />
2002-2-19,8,6,3,7,5,2,100,88,76,1020,1011,1003,16,15,8,34,21,48,8.38,6,Rain,205<br />
2002-2-20,9,6,2,4,2,1,97,78,56,1027,1024,1021,16,16,16,13,8,,1.02,6,Rain,161<br />
2002-2-21,13,9,6,12,9,5,100,92,77,1022,1018,1017,16,12,5,32,19,45,23.62,8,Rain,202<br />
2002-2-22,11,9,7,11,10,7,100,100,93,1017,1013,1007,16,9,1,19,11,,18.03,8,Fog-Rain,246<br />
2002-2-23,6,4,2,6,3,1,100,95,79,1020,1011,1005,16,8,0,21,14,,12.70,8,Fog-Rain,6<br />
2002-2-24,5,3,1,3,-4,-8,100,65,38,1037,1030,1020,16,16,11,26,13,29,0.25,5,Snow,2<br />
2002-2-25,9,3,-2,-2,-7,-13,96,55,27,1040,1037,1034,16,16,16,24,16,,0.00,5,,44<br />
2002-2-26,8,4,1,0,-6,-13,76,50,29,1034,1034,1033,16,16,16,21,14,,0.00,2,,31<br />
2002-2-27,7,3,-1,2,-1,-3,96,78,55,1034,1029,1025,16,16,5,19,6,,0.51,5,Rain,58<br />
2002-2-28,8,5,2,3,1,-3,100,80,48,1030,1028,1025,16,16,16,23,11,26,0.51,5,Rain,14<br />
2002-3-1,9,4,-1,1,-2,-6,92,69,36,1031,1029,1028,16,16,16,23,10,,0.00,3,,87<br />
2002-3-2,11,4,-1,2,0,-2,96,74,44,1034,1033,1031,16,16,14,19,10,,0.00,1,,16<br />
2002-3-3,12,6,0,2,1,-1,100,70,43,1032,1029,1025,16,16,14,13,8,,0.00,3,,21<br />
2002-3-4,13,7,2,4,2,-2,89,68,37,1025,1019,1014,16,16,16,27,16,45,0.00,6,,205<br />
2002-3-5,7,4,2,6,2,-3,100,81,55,1017,1015,1013,16,16,16,27,18,32,0.00,8,Rain,13<br />
2002-3-6,3,1,-1,-3,-7,-8,72,57,46,1012,1009,1007,16,16,16,34,21,48,0.00,7,,1<br />
2002-3-7,3,0,-2,0,-2,-4,93,79,62,1015,1011,1008,16,16,8,27,16,32,0.00,7,Snow-Thunderstorm,221<br />
2002-3-8,4,1,-1,1,-2,-3,93,81,62,1023,1020,1016,16,16,14,32,18,39,0.00,7,Rain,205<br />
2002-3-9,10,6,2,4,-1,-4,89,61,36,1022,1013,1008,16,16,14,34,18,48,1.27,8,Rain,139<br />
2002-3-10,9,7,6,7,5,2,100,87,71,1014,1012,1009,16,16,11,29,19,45,2.79,8,Rain,185<br />
2002-3-11,10,8,7,9,8,4,100,93,77,1010,1008,1007,16,13,3,37,24,50,25.65,7,Rain,202<br />
2002-3-12,7,6,4,5,4,3,100,92,81,1013,1012,1010,16,14,8,34,24,48,11.18,7,Rain,193<br />
2002-3-13,7,4,3,4,3,3,97,91,79,1022,1016,1013,16,16,16,27,21,35,0.76,8,Rain,200<br />
2002-3-14,8,6,3,3,2,-2,96,82,53,1024,1022,1019,16,16,16,27,13,37,0.00,8,,219<br />
2002-3-15,6,3,2,4,2,-1,100,88,70,1018,1013,1010,16,15,11,29,18,39,3.30,7,Rain,198<br />
2002-3-16,2,1,0,2,-1,-5,100,91,66,1012,1009,1008,16,7,0,29,18,37,8.64,8,Fog-Rain-Snow-Thunderstorm,133<br />
2002-3-17,4,1,-1,-2,-7,-8,76,55,41,1024,1019,1012,16,16,16,29,18,37,0.00,6,,8<br />
2002-3-18,4,2,1,4,1,-3,100,92,70,1024,1019,1015,16,11,2,35,18,45,3.30,8,Rain-Snow,189<br />
2002-3-19,5,4,3,5,4,3,100,96,89,1021,1019,1017,16,14,5,34,24,42,9.40,8,Rain,214<br />
2002-3-20,2,1,-1,2,1,-1,100,97,87,1026,1024,1021,16,9,1,34,21,40,4.32,8,Rain-Snow,6<br />
2002-3-21,11,6,1,2,-1,-4,96,66,44,1024,1020,1015,16,16,16,23,16,29,0.00,7,,44<br />
2002-3-22,12,7,2,4,3,1,96,76,54,1015,1011,1008,16,16,16,16,8,,0.00,6,,32<br />
2002-3-23,14,9,5,6,4,3,92,73,55,1012,1010,1009,16,16,13,14,8,,0.51,7,Rain,159<br />
2002-3-24,11,9,7,8,7,4,100,91,77,1020,1017,1013,16,16,14,16,6,,0.25,8,Rain,214<br />
2002-3-25,12,9,6,6,4,3,93,75,55,1022,1020,1019,16,16,16,14,10,,0.00,7,,189<br />
2002-3-26,8,7,4,7,4,2,100,87,71,1019,1017,1015,16,16,16,32,18,40,0.00,7,Rain,208<br />
2002-3-27,7,4,2,5,3,1,97,85,68,1023,1021,1019,16,16,14,32,18,47,0.00,8,Rain,198<br />
2002-3-28,10,8,6,7,4,3,93,82,66,1026,1024,1021,16,16,16,26,19,35,0.00,8,Rain,216<br />
2002-3-29,12,9,6,7,4,2,96,81,62,1028,1027,1026,16,16,16,23,16,,0.00,8,,210<br />
2002-3-30,11,8,6,6,4,3,93,81,61,1030,1028,1026,16,16,16,16,11,,0.00,7,,224<br />
2002-3-31,12,10,7,7,5,3,86,75,57,1026,1024,1022,16,16,16,23,14,,0.00,8,,193<br />
2002-4-1,11,8,4,7,3,-2,100,73,43,1026,1024,1022,16,15,6,23,16,34,0.25,6,Rain,17<br />
2002-4-2,12,8,3,2,1,-1,93,65,45,1026,1024,1022,16,16,16,24,14,,0.00,3,,14<br />
2002-4-3,16,9,2,3,1,-2,86,60,41,1022,1021,1019,16,16,16,19,11,,0.00,1,,14<br />
2002-4-4,18,11,4,5,4,3,93,63,40,1020,1016,1012,16,16,16,23,10,,0.00,1,,1<br />
2002-4-5,13,10,7,9,7,5,100,88,72,1015,1014,1012,16,16,16,23,14,,0.00,7,,193<br />
2002-4-6,13,10,8,9,6,4,100,82,62,1016,1015,1014,16,16,11,32,19,48,0.00,8,Rain,221<br />
2002-4-7,11,8,5,7,4,1,93,78,54,1021,1018,1014,16,16,11,32,18,47,0.51,7,Rain,236<br />
2002-4-8,16,9,3,5,3,0,96,69,39,1021,1015,1011,16,16,16,16,6,,0.00,5,,344<br />
2002-4-9,14,11,8,11,8,4,100,91,66,1015,1012,1010,16,14,6,26,8,40,20.07,8,Rain,175<br />
2002-4-10,12,10,8,11,9,8,100,94,83,1020,1018,1015,16,13,4,21,10,,12.45,8,Rain,189<br />
2002-4-11,14,11,9,12,10,8,100,95,77,1018,1016,1015,16,14,6,23,13,32,4.57,8,Rain,179<br />
2002-4-12,14,11,10,11,10,9,100,94,80,1021,1018,1011,16,13,2,23,14,,4.57,8,Rain,212<br />
2002-4-13,13,11,10,13,12,10,100,99,90,1015,1009,1000,16,6,2,39,16,53,37.34,8,Rain,196<br />
