SGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,31,27,24,24,23,22,94,81,62,1015,1013,1011,10,10,8,26,10,,0.00,5,,13<br />
2002-1-2,31,27,24,24,23,22,94,80,58,1016,1014,1012,10,10,8,24,10,,0.00,5,,8<br />
2002-1-3,31,27,24,23,22,20,94,76,52,1015,1013,1012,10,10,8,26,11,,0.00,6,,7<br />
2002-1-4,31,27,24,24,23,20,94,78,58,1015,1013,1010,10,9,7,21,10,35,0.00,6,,1<br />
2002-1-5,31,28,25,25,24,22,94,82,58,1014,1012,1009,10,10,9,27,10,,0.00,4,,3<br />
2002-1-6,30,28,26,26,24,24,94,85,70,1013,1011,1009,10,10,8,24,13,,0.00,5,Rain,18<br />
2002-1-7,30,28,25,25,24,23,94,85,70,1014,1012,1010,10,10,6,24,11,,0.00,6,Rain,12<br />
2002-1-8,30,28,25,25,24,23,94,86,70,1014,1012,1010,10,9,5,27,13,47,0.00,6,Rain,16<br />
2002-1-9,30,28,25,25,24,24,94,88,70,1014,1012,1009,10,9,4,26,10,45,0.00,6,Rain,1<br />
2002-1-10,30,27,24,25,24,23,100,88,70,1013,1011,1009,10,9,4,26,11,37,0.00,5,Rain,13<br />
2002-1-11,30,28,25,25,24,24,100,88,70,1012,1011,1008,10,9,4,32,10,,0.00,6,Rain,16<br />
2002-1-12,31,28,25,25,24,24,100,85,66,1012,1010,1007,10,10,9,23,8,,0.00,5,,19<br />
2002-1-13,31,28,25,25,24,23,94,81,66,1011,1009,1007,10,10,10,26,11,,0.00,5,,18<br />
2002-1-14,31,28,26,24,23,22,89,79,62,1010,1008,1007,10,10,10,24,13,,0.00,4,,23<br />
2002-1-15,31,28,25,24,23,22,94,80,58,1011,1009,1007,10,10,10,19,8,,0.00,4,,17<br />
