EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,1,-2,-6,-5,-8,-14,65,58,46,1021,1018,1016,14,14,14,34,18,47,0.00,5,,19<br />
2003-1-2,-4,-7,-9,-6,-10,-16,93,73,50,1024,1020,1016,14,7,0,63,35,72,0.00,7,Snow,52<br />
2003-1-3,1,-2,-5,-1,-2,-8,93,89,80,1017,1013,1012,14,3,0,47,31,60,0.00,8,Snow,82<br />
2003-1-4,-1,-2,-3,-4,-5,-6,86,78,69,1017,1014,1012,14,10,3,24,14,27,0.00,7,Snow,322<br />
2003-1-5,-1,-2,-3,-5,-6,-7,80,75,69,1019,1017,1016,14,11,6,16,6,,0.00,7,,281<br />
2003-1-6,-1,-6,-10,-3,-6,-16,93,80,62,1022,1015,1014,14,5,1,32,11,45,0.00,7,Snow,276<br />
2003-1-7,1,-6,-12,-1,-6,-16,93,81,62,1022,1005,993,14,9,2,47,26,53,0.00,7,Snow,241<br />
2003-1-8,4,2,0,1,0,-2,93,83,65,995,991,980,14,12,2,34,24,35,0.00,7,,241<br />
2003-1-9,6,1,-3,0,-2,-8,93,87,61,998,992,980,14,6,1,48,21,60,0.00,7,Rain-Snow,48<br />
2003-1-10,-3,-6,-8,-7,-9,-15,86,73,54,1007,1003,999,14,8,0,53,26,63,0.00,4,Snow,274<br />
2003-1-11,-3,-6,-7,-8,-9,-10,80,71,59,1016,1011,1006,14,13,2,58,48,71,0.00,5,Snow,245<br />
2003-1-12,-1,-3,-5,-6,-9,-12,80,68,54,1024,1021,1016,14,13,2,48,29,60,0.00,6,Snow,265<br />
2003-1-13,-1,-4,-8,-7,-11,-15,74,61,50,1020,1013,1007,14,13,3,55,42,71,0.00,5,Snow,271<br />
2003-1-14,-5,-7,-9,-10,-13,-16,74,64,49,1021,1020,1018,14,14,6,21,13,,0.00,6,Snow,280<br />
2003-1-15,-4,-6,-7,-9,-11,-13,86,70,54,1023,1020,1017,14,11,1,50,29,61,0.00,5,Snow,265<br />
2003-1-16,-5,-6,-7,-10,-11,-13,80,69,54,1023,1021,1014,14,14,10,45,27,55,0.00,4,Snow,243<br />
2003-1-17,-6,-11,-16,-10,-18,-25,74,60,43,1022,1018,1012,14,13,3,29,21,45,0.00,2,Snow,307<br />
2003-1-18,-4,-8,-12,-10,-12,-17,79,67,57,1021,1014,1009,14,14,10,52,34,64,0.00,5,Snow,229<br />
2003-1-19,-5,-7,-8,-10,-11,-15,80,69,50,1011,1005,1001,14,11,2,66,43,84,0.00,4,Snow,235<br />
2003-1-20,-6,-9,-11,-11,-17,-20,73,56,38,1017,1010,1000,14,14,14,52,35,63,0.00,1,Snow,281<br />
2003-1-21,-10,-12,-13,-15,-17,-19,73,63,49,1022,1019,1016,14,14,14,34,14,29,0.00,2,,298<br />
2003-1-22,-10,-14,-18,-14,-20,-24,79,62,44,1023,1021,1017,14,13,5,39,24,52,0.00,3,,294<br />
2003-1-23,-13,-16,-17,-19,-22,-24,66,60,52,1024,1019,1017,14,8,2,29,18,48,0.00,5,Snow,327<br />
2003-1-24,-5,-11,-16,-11,-15,-21,74,64,56,1030,1027,1024,14,14,14,40,19,53,0.00,3,Snow,266<br />
2003-1-25,-4,-7,-8,-7,-11,-13,80,70,63,1023,1019,1016,14,12,2,48,39,58,0.00,7,Snow,235<br />
2003-1-26,-3,-9,-16,-6,-11,-22,86,72,44,1029,1017,1014,14,8,2,40,31,48,0.00,6,Snow,285<br />
2003-1-27,-10,-15,-20,-15,-20,-26,67,60,51,1035,1031,1026,14,14,4,32,14,29,0.00,3,,258<br />
2003-1-28,-3,-7,-10,-6,-11,-15,86,73,58,1027,1022,1017,14,7,1,35,26,40,0.00,7,Snow,226<br />
2003-1-29,-2,-7,-11,-6,-9,-17,86,72,54,1030,1020,1016,14,9,2,27,14,37,0.00,5,Snow,293<br />
2003-1-30,-3,-9,-14,-9,-13,-18,79,69,54,1030,1029,1027,14,14,11,24,10,27,0.00,3,,242<br />
2003-1-31,1,-4,-10,-1,-6,-12,87,80,69,1026,1022,1015,14,7,2,23,10,,0.00,5,,153<br />
2003-2-1,3,2,1,0,0,-1,93,89,75,1015,1012,1010,6,3,1,21,11,,0.00,6,Rain,97<br />
2003-2-2,4,2,0,-1,-3,-5,81,72,65,1016,1013,1011,14,12,6,23,13,35,0.00,7,Snow,309<br />
2003-2-3,2,-1,-3,0,-3,-8,93,81,64,1016,1004,994,14,10,2,53,27,60,0.00,6,Rain-Snow,64<br />
2003-2-4,5,0,-4,4,-2,-12,93,80,54,1005,991,984,14,6,0,63,34,85,0.00,7,Rain-Snow,245<br />
2003-2-5,-4,-7,-8,-11,-13,-16,68,57,46,1024,1017,1006,14,14,13,48,35,60,0.00,5,Snow,270<br />
2003-2-6,0,-3,-6,-5,-8,-12,75,65,54,1025,1022,1018,14,14,6,39,31,47,0.00,6,Snow,232<br />
