PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,8,7,5,7,6,4,100,93,87,1029,1027,1023,32,20,13,13,6,,0.00,7,Fog,216<br />
2001-1-2,11,7,4,5,4,3,93,86,62,1026,1025,1023,24,24,24,13,6,,0.00,7,Rain,282<br />
2001-1-3,9,6,3,7,5,2,100,93,76,1026,1023,1021,32,14,5,14,6,,0.00,8,Fog-Rain,246<br />
2001-1-4,12,8,6,10,7,5,100,95,87,1027,1019,1010,13,6,1,14,6,,0.00,8,Rain,341<br />
2001-1-5,11,7,4,9,5,2,94,76,62,1026,1019,1010,32,24,8,26,13,40,0.00,6,Rain,218<br />
2001-1-6,7,3,0,4,2,-1,93,88,76,1027,1024,1017,32,29,24,13,10,,0.00,2,,291<br />
2001-1-7,6,3,1,3,1,0,93,85,76,1017,1010,1004,32,27,19,11,8,,0.00,6,,272<br />
2001-1-8,11,8,5,6,3,1,93,80,62,1012,1007,1004,32,29,19,23,8,,0.00,7,Rain,252<br />
2001-1-9,10,8,7,5,3,1,87,74,58,1012,1003,997,32,23,19,40,14,50,0.00,7,Rain,117<br />
2001-1-10,9,7,5,5,4,3,87,80,71,1011,1008,1002,32,30,19,24,11,37,0.00,5,,269<br />
2001-1-11,9,7,4,3,3,2,87,79,62,1013,1009,1006,32,32,32,13,6,,0.00,7,,307<br />
2001-1-12,7,6,4,4,3,2,100,84,71,1017,1016,1014,32,28,13,10,2,,0.00,7,Rain,286<br />
2001-1-13,5,4,3,4,4,2,100,93,87,1023,1019,1016,32,18,6,16,5,,0.00,8,Fog-Rain,273<br />
2001-1-14,6,4,3,3,3,2,100,89,76,1032,1029,1023,32,24,16,13,8,,0.00,7,,269<br />
2001-1-15,7,3,-1,3,1,-2,100,89,70,1034,1033,1031,32,32,32,13,6,,0.00,5,Fog-Rain,284<br />
2001-1-16,5,2,-1,1,-1,-2,100,89,70,1032,1030,1029,32,29,19,14,6,,0.00,5,,263<br />
2001-1-17,5,2,-1,3,1,-1,100,91,81,1031,1030,1029,32,19,3,10,6,,0.00,8,Rain,299<br />
2001-1-18,5,4,3,5,4,3,100,97,93,1029,1024,1020,5,3,0,10,5,,0.00,8,Fog-Rain,273<br />
2001-1-19,10,7,3,7,4,2,100,88,62,1023,1021,1020,32,9,0,16,3,,0.00,6,Fog-Rain,244<br />
2001-1-20,6,4,3,5,4,2,100,92,87,1022,1019,1018,32,23,6,19,6,,0.00,8,Rain,271<br />
2001-1-21,7,6,6,6,5,4,93,92,87,1026,1021,1017,32,13,3,16,8,,0.00,8,Rain,343<br />
2001-1-22,9,6,2,5,3,1,93,86,66,1026,1023,1019,24,19,16,13,6,,0.00,3,,329<br />
2001-1-23,9,4,1,2,1,0,93,83,58,1019,1015,1013,,,,13,8,,0.00,5,,280<br />
2001-1-24,7,6,5,5,4,2,93,90,76,1016,1015,1014,32,20,8,13,6,,0.00,8,Fog-Rain,253<br />
2001-1-25,8,4,1,6,3,0,100,87,71,1019,1016,1015,32,17,11,13,8,,0.00,5,Rain,63<br />
2001-1-26,8,3,-1,4,1,-2,100,89,71,1025,1022,1020,32,21,5,10,5,,0.00,2,Fog,284<br />
2001-1-27,7,3,0,3,1,-1,100,91,76,1026,1024,1020,32,4,0,13,6,,0.00,4,Fog,283<br />
