PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-11,-16,-19,-13,-17,-20,92,87,79,1022,1015,1006,24,20,16,27,11,48,0.00,4,Snow,153<br />
2002-1-2,-9,-11,-12,-11,-12,-13,93,86,79,1006,1003,1000,6,6,6,34,27,48,0.00,5,Snow,184<br />
2002-1-3,-9,-12,-14,-11,-12,-15,100,90,79,1013,1005,1000,,,,32,18,,0.00,5,,179<br />
2002-1-4,-9,-11,-13,-10,-12,-15,100,92,85,1019,1017,1014,,,,23,8,,0.00,2,,152<br />
2002-1-5,-3,-7,-11,-5,-9,-13,93,84,73,1015,1003,991,,,,42,27,55,0.00,6,Snow,182<br />
2002-1-6,1,-1,-2,-1,-2,-4,93,87,80,990,985,980,32,28,24,40,32,52,0.00,6,Snow,175<br />
2002-1-7,2,0,-1,-1,-2,-4,93,82,70,989,982,979,,,,42,27,55,0.00,5,,167<br />
2002-1-8,2,0,-2,-4,-6,-8,86,71,60,1006,999,989,,,,37,23,,0.00,4,,164<br />
2002-1-9,1,0,-1,-2,-3,-6,81,76,69,1007,1004,1001,32,29,24,42,32,52,0.00,4,Snow,166<br />
2002-1-10,1,-1,-4,-2,-5,-7,93,79,64,1016,1011,1002,32,25,16,47,27,50,0.00,5,Snow,163<br />
2002-1-11,-1,-3,-6,-6,-7,-7,93,76,69,1015,1009,1002,,,,37,23,48,0.00,5,Snow,185<br />
2002-1-12,-5,-11,-17,-7,-12,-18,92,83,68,1023,1013,1002,32,32,32,19,10,,0.00,4,Snow,312<br />
2002-1-13,-6,-11,-15,-8,-12,-16,93,87,73,1028,1024,1023,16,5,2,32,11,37,0.00,6,Snow,164<br />
2002-1-14,-4,-10,-15,-7,-11,-17,100,88,74,1028,1025,1022,24,24,24,39,11,48,0.00,4,Snow,162<br />
2002-1-15,-3,-9,-14,-3,-9,-15,100,89,80,1029,1024,1018,5,5,5,42,13,52,0.00,7,Snow,179<br />
2002-1-16,-3,-9,-14,-4,-9,-14,100,87,69,1033,1030,1023,32,32,32,27,6,,0.00,5,Snow,348<br />
2002-1-17,-5,-8,-11,-8,-9,-12,93,88,80,1030,1025,1017,10,10,10,37,18,40,0.00,5,,173<br />
2002-1-18,-2,-4,-7,-5,-7,-9,93,82,69,1016,1007,1003,32,15,3,39,23,47,0.00,7,Snow,170<br />
2002-1-19,-3,-8,-13,-3,-9,-14,100,95,92,1004,998,992,32,14,1,13,3,,0.00,6,Fog-Snow,333<br />
2002-1-20,-7,-11,-16,-8,-12,-19,93,84,62,1006,997,992,32,11,1,26,11,,0.00,6,Snow,339<br />
2002-1-21,-19,-24,-29,-20,-28,-35,92,75,58,1016,1013,1007,32,16,3,10,3,,0.00,5,Snow,330<br />
2002-1-22,-22,-27,-31,-27,-29,-36,77,69,58,1018,1015,1010,32,21,16,37,11,42,0.00,4,Snow,177<br />
2002-1-23,-1,-11,-22,-21,-24,-26,78,72,19,1009,999,995,32,10,2,37,23,48,0.00,7,Snow,182<br />
2002-1-24,-19,-21,-24,-23,-24,-28,71,70,65,1013,1003,996,32,14,3,21,11,,0.00,7,Snow,335<br />
2002-1-25,-19,-22,-25,-24,-27,-30,77,68,64,1024,1021,1014,32,20,6,14,10,,0.00,7,Snow,337<br />
2002-1-26,-22,-29,-37,-27,-34,-41,75,68,62,1028,1027,1025,,,,14,5,,0.00,2,,342<br />
2002-1-27,-26,-29,-32,-31,-33,-36,69,65,63,1028,1025,1022,,,,34,16,37,0.00,2,Snow,182<br />
2002-1-28,-19,-22,-26,-23,-27,-31,71,66,59,1022,1020,1018,,,,19,11,,0.00,7,,154<br />
2002-1-29,-12,-17,-20,-15,-20,-25,79,74,65,1018,1014,1009,,,,27,14,47,0.00,4,Snow,162<br />
2002-1-30,-7,-10,-12,-9,-12,-17,93,85,67,1008,1005,1004,32,32,32,37,29,48,0.00,6,Snow,182<br />
2002-1-31,-7,-12,-16,-8,-11,-17,93,89,85,1012,1008,1005,32,32,32,32,16,,0.00,5,,168<br />
2002-2-1,-10,-12,-14,-11,-13,-15,100,89,85,1012,1011,1010,32,28,13,37,11,50,0.00,4,,149<br />
2002-2-2,-8,-11,-13,-11,-12,-15,92,85,79,1010,1006,1003,32,10,5,35,24,,0.00,7,Snow,186<br />
2002-2-3,-10,-12,-13,-12,-13,-15,92,87,79,1015,1012,1005,32,17,16,37,10,,0.00,7,Snow,188<br />
2002-2-4,-5,-8,-11,-8,-10,-13,93,84,74,1013,1007,1004,16,16,16,37,26,40,0.00,4,Snow,178<br />
2002-2-5,-7,-12,-18,-9,-12,-19,93,88,79,1010,1008,1007,32,32,32,23,11,,0.00,1,,159<br />
2002-2-6,-14,-19,-25,-17,-22,-28,100,86,77,1012,1011,1010,,,,8,2,,0.00,0,,169<br />
2002-2-7,-15,-22,-29,-20,-27,-33,77,68,53,1014,1013,1012,5,5,5,27,5,37,0.00,2,Fog,162<br />
2002-2-8,-15,-20,-26,-21,-26,-30,71,66,61,1028,1021,1014,,,,27,6,37,0.00,3,,157<br />
2002-2-9,-16,-19,-23,-19,-23,-28,78,71,65,1028,1017,1003,32,6,1,10,0,,0.00,7,Snow,9<br />
2002-2-10,-1,-10,-19,-4,-12,-22,86,77,64,1006,1000,996,32,17,3,37,13,52,0.00,8,Snow,155<br />
2002-2-11,0,-2,-4,-6,-8,-12,80,63,47,1016,1013,1007,,,,37,26,47,0.00,4,Snow,161<br />
2002-2-12,2,-1,-6,-4,-6,-15,86,71,50,1009,1004,1000,24,16,8,40,24,,0.00,5,Snow,159<br />
2002-2-13,-1,-6,-10,-7,-12,-16,69,61,50,1010,1006,1001,,,,55,16,77,0.00,5,,175<br />
2002-2-14,3,-1,-5,-3,-7,-12,86,69,41,1009,1003,1000,32,32,32,32,21,48,0.00,4,,167<br />
2002-2-15,0,-3,-7,-3,-7,-11,86,78,68,1010,1006,999,32,18,2,40,21,,0.00,7,Snow,176<br />
2002-2-16,-1,-6,-13,-3,-12,-18,93,59,34,1008,1003,999,32,10,1,27,13,,0.00,5,Snow,217<br />
2002-2-17,-7,-12,-18,-11,-16,-23,79,72,62,1008,1005,1001,32,26,16,32,13,,0.00,5,Snow,172<br />
2002-2-18,-4,-8,-12,-11,-13,-16,85,73,59,1001,1000,1000,,,,37,24,47,0.00,3,Snow,183<br />
2002-2-19,-10,-13,-17,-13,-16,-19,92,81,78,1000,997,995,32,6,2,14,3,,0.00,7,Snow,350<br />
2002-2-20,-10,-13,-17,-14,-16,-20,85,80,73,1019,1011,1001,32,10,2,13,2,,0.00,7,Snow,331<br />
2002-2-21,-12,-17,-21,-17,-19,-24,85,70,62,1030,1025,1019,32,24,16,19,10,,0.00,7,Snow,345<br />
2002-2-22,-12,-19,-27,-17,-25,-32,77,65,48,1039,1036,1031,32,28,24,13,5,,0.00,1,,351<br />
2002-2-23,-12,-17,-22,-20,-23,-26,72,64,52,1039,1037,1035,,,,39,18,,0.00,0,,176<br />
2002-2-24,-12,-20,-28,-16,-26,-33,73,59,48,1040,1038,1035,,,,27,13,37,0.00,1,,170<br />
2002-2-25,-3,-10,-16,-11,-17,-23,68,54,45,1035,1030,1027,,,,42,31,53,0.00,5,,181<br />
2002-2-26,-2,-7,-12,-6,-11,-15,85,73,59,1029,1026,1018,32,16,3,34,18,,0.00,5,Snow,161<br />
2002-2-27,1,-3,-9,-6,-8,-12,86,74,48,1030,1023,1017,32,30,16,32,14,,0.00,6,Snow,216<br />
2002-2-28,0,-7,-14,-7,-11,-17,85,68,55,1030,1025,1022,,,,34,16,47,0.00,5,,178<br />
2002-3-1,0,-7,-13,-6,-9,-16,79,67,55,1028,1026,1022,,,,26,13,27,0.00,6,,176<br />
2002-3-2,6,2,-3,-4,-6,-8,80,60,46,1022,1016,1013,16,6,2,40,24,55,0.00,6,Snow,186<br />
2002-3-3,-4,-6,-7,-7,-11,-16,86,69,49,1036,1030,1021,32,9,2,40,16,47,0.00,8,Snow,345<br />
2002-3-4,-7,-11,-16,-15,-18,-25,67,55,47,1044,1041,1037,32,19,8,34,23,48,0.00,6,Snow,345<br />
2002-3-5,-13,-18,-23,-25,-27,-29,60,48,34,1048,1046,1044,,,,23,13,,0.00,0,,319<br />
2002-3-6,-13,-22,-30,-24,-29,-35,64,51,37,1045,1040,1035,,,,23,6,,0.00,3,,338<br />
2002-3-7,-12,-18,-23,-23,-26,-29,65,51,40,1035,1034,1033,,,,21,13,,0.00,0,,328<br />
2002-3-8,-10,-18,-26,-21,-26,-32,64,50,38,1034,1030,1024,,,,24,10,,0.00,4,,350<br />
2002-3-9,-12,-15,-18,-21,-25,-29,56,43,31,1027,1025,1023,,,,21,11,,0.00,4,Snow,18<br />
2002-3-10,-13,-19,-24,-26,-28,-31,54,44,31,1023,1019,1012,,,,27,10,35,0.00,5,,200<br />
