CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2003-1-1,-8,-10,-12,-13,-16,-18,73,64,58,1027,1026,1024,24,23,19,21,13,,0.00,8,Snow,150<br />
2003-1-2,-5,-7,-9,-8,-11,-12,80,74,68,1025,1022,1016,24,19,3,40,24,53,0.00,6,Snow,183<br />
2003-1-3,-2,-3,-6,-6,-7,-8,86,79,74,1015,1009,1007,24,9,0,42,32,53,0.00,7,Fog-Rain-Snow,184<br />
2003-1-4,-2,-3,-6,-5,-6,-8,86,82,74,1018,1014,1008,24,7,0,24,14,,0.00,8,Fog,349<br />
2003-1-5,-6,-8,-9,-9,-10,-12,86,81,79,1035,1027,1018,24,16,5,24,16,,0.00,8,Snow,11<br />
2003-1-6,1,-4,-10,-3,-8,-11,93,84,70,1034,1024,1012,24,14,2,34,19,45,0.00,7,Snow,212<br />
2003-1-7,6,2,-1,0,-2,-5,75,68,60,1011,1007,1002,24,24,23,34,23,37,0.00,4,,277<br />
2003-1-8,5,2,-2,-2,-4,-6,75,66,56,1003,998,995,24,22,2,42,26,64,0.00,3,Rain-Snow,291<br />
2003-1-9,-5,-10,-14,-9,-16,-20,74,66,53,1020,1016,1005,24,12,1,50,34,69,0.00,7,Snow,337<br />
2003-1-10,-15,-18,-22,-19,-26,-28,72,60,55,1029,1026,1021,24,23,5,50,34,61,0.00,3,Snow,327<br />
2003-1-11,-18,-21,-24,-25,-28,-30,60,56,50,1032,1029,1024,24,24,24,32,21,29,0.00,3,,279<br />
2003-1-12,-18,-20,-23,-24,-27,-29,66,59,50,1031,1024,1016,24,24,24,35,18,45,0.00,2,,340<br />
2003-1-13,-17,-21,-26,-26,-28,-31,64,57,46,1032,1031,1030,24,24,24,16,11,,0.00,2,,283<br />
2003-1-14,-17,-20,-23,-26,-28,-29,60,57,47,1032,1031,1030,24,24,24,35,18,,0.00,0,,293<br />
2003-1-15,-10,-16,-21,-19,-24,-28,61,56,48,1034,1032,1031,24,24,24,23,18,,0.00,1,,288<br />
2003-1-16,-13,-17,-21,-23,-26,-28,60,51,40,1036,1034,1031,24,24,24,26,18,,0.00,0,,301<br />
2003-1-17,-6,-13,-20,-10,-18,-27,80,64,46,1033,1019,1010,24,9,0,58,26,64,0.00,6,Snow,295<br />
2003-1-18,-16,-21,-25,-20,-23,-29,72,67,61,1023,1018,1007,24,21,8,37,23,48,0.00,4,Snow,291<br />
2003-1-19,-12,-19,-25,-17,-23,-30,72,63,56,1019,1012,1006,24,23,2,32,19,,0.00,5,Snow,324<br />
2003-1-20,-20,-24,-28,-27,-30,-34,64,57,50,1027,1024,1019,24,24,24,35,18,,0.00,2,,295<br />
2003-1-21,-20,-23,-27,-26,-29,-33,65,59,54,1036,1031,1027,24,20,6,23,13,,0.00,6,Snow,333<br />
2003-1-22,-25,-29,-34,-31,-36,-40,64,59,53,1048,1044,1037,24,24,16,19,13,,0.00,0,,326<br />
2003-1-23,-22,-28,-33,-29,-33,-39,63,56,49,1048,1043,1034,24,21,3,23,11,,0.00,5,Snow,232<br />
2003-1-24,-16,-19,-22,-22,-26,-28,66,58,55,1032,1027,1023,24,15,3,34,19,35,0.00,7,Snow,235<br />
