MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,-16,-18,-20,-20,-24,-26,72,64,55,1020,1018,1014,24,21,2,14,10,,0.00,8,Snow,81<br />
2001-1-2,-18,-20,-23,-22,-24,-28,78,67,59,1021,1018,1016,24,16,2,10,6,,0.00,6,Snow,32<br />
2001-1-3,-17,-21,-25,-22,-24,-30,72,66,59,1021,1009,995,24,11,0,24,8,,0.00,7,Snow,62<br />
2001-1-4,-17,-20,-23,-21,-26,-29,72,60,50,1013,1007,995,24,15,2,14,8,,0.00,7,Snow,31<br />
2001-1-5,-19,-21,-25,-24,-27,-31,71,60,54,1011,1008,1006,24,12,1,11,6,,0.00,7,Snow,45<br />
2001-1-6,-21,-24,-28,-28,-31,-35,59,56,46,1019,1014,1010,24,15,1,11,6,,0.00,5,Snow,33<br />
2001-1-7,-17,-22,-28,-22,-28,-35,66,58,53,1017,1011,1001,24,24,19,21,11,,0.00,6,Snow,102<br />
2001-1-8,-10,-13,-17,-15,-20,-23,73,64,61,1000,992,985,24,24,24,21,14,,0.00,4,Snow,105<br />
2001-1-9,-10,-14,-19,-14,-20,-24,73,67,60,1000,994,985,24,22,3,16,8,,0.00,5,Snow,287<br />
2001-1-10,-10,-13,-17,-14,-18,-22,79,70,61,1003,1002,1000,24,15,1,10,6,,0.00,7,Fog-Snow,68<br />
2001-1-11,-10,-16,-22,-14,-23,-29,73,62,54,1027,1015,1002,24,22,10,29,13,,0.00,7,Snow,335<br />
2001-1-12,-19,-24,-28,-25,-29,-34,60,58,53,1030,1027,1020,24,18,2,23,10,32,0.00,5,Snow,120<br />
2001-1-13,-14,-17,-22,-19,-22,-29,67,62,47,1019,1012,1009,24,15,1,34,18,45,0.00,5,Snow,195<br />
2001-1-14,-20,-22,-24,-25,-27,-30,71,65,59,1030,1025,1016,24,20,0,11,5,,0.00,4,Fog-Snow,70<br />
2001-1-15,-14,-17,-19,-19,-22,-24,72,67,61,1029,1021,1011,24,24,24,14,10,,0.00,6,Snow,117<br />
2001-1-16,-15,-17,-18,-19,-21,-23,72,67,66,1013,1008,1005,24,18,0,13,6,,0.00,6,Fog-Snow,2<br />
2001-1-17,-8,-12,-15,-12,-16,-19,79,72,67,1022,1019,1014,24,5,1,8,2,,0.00,8,Fog-Snow,284<br />
2001-1-18,-9,-13,-17,-13,-16,-21,73,72,66,1020,1012,1007,24,8,0,21,5,,0.00,2,Fog-Snow,154<br />
2001-1-19,-12,-16,-19,-16,-20,-23,73,71,66,1008,1006,1002,24,14,0,10,3,,0.00,3,Fog,97<br />
2001-1-20,-8,-10,-12,-12,-14,-17,73,73,67,1003,1002,1001,24,15,1,11,6,,0.00,7,Fog-Snow,212<br />
2001-1-21,-9,-13,-16,-13,-17,-21,73,71,66,1010,1005,1002,24,24,24,21,10,29,0.00,4,Snow,271<br />
2001-1-22,-11,-14,-18,-16,-18,-23,73,69,66,1028,1019,1011,24,21,13,16,11,,0.00,7,Snow,350<br />
2001-1-23,-12,-17,-22,-17,-22,-27,71,65,55,1029,1020,1008,24,16,3,26,14,39,0.00,7,Snow,144<br />
2001-1-24,-10,-12,-13,-15,-17,-18,73,70,67,1016,1008,1004,24,23,16,23,8,,0.00,7,Snow,354<br />
2001-1-25,-12,-19,-27,-17,-23,-33,73,64,53,1024,1021,1016,24,22,5,11,6,,0.00,5,Snow,47<br />
2001-1-26,-18,-23,-27,-24,-28,-33,65,58,54,1023,1015,1012,24,22,3,14,8,,0.00,7,Snow,324<br />
2001-1-27,-17,-19,-21,-23,-24,-26,66,63,60,1013,1007,1000,24,19,3,13,5,,0.00,7,Snow,87<br />
2001-1-28,-17,-21,-27,-22,-25,-34,66,62,53,1013,1005,999,24,22,5,19,10,27,0.00,7,Snow,55<br />
2001-1-29,-27,-29,-31,-35,-36,-39,53,50,47,1015,1015,1013,24,24,24,21,18,,0.00,5,,73<br />
2001-1-30,-22,-24,-27,-29,-32,-35,54,52,48,1023,1017,1015,24,19,4,21,13,,0.00,6,Snow,83<br />
2001-1-31,-18,-23,-27,-25,-30,-34,60,55,53,1026,1021,1007,24,18,5,29,11,42,0.00,5,Snow,130<br />
