CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,-1,-6,-9,-6,-8,-10,100,84,60,1038,1037,1034,10,8,6,8,2,,0.00,1,,39<br />
2002-1-2,0,-5,-10,-5,-8,-11,93,84,64,1037,1034,1030,9,7,5,11,3,,0.00,0,,345<br />
2002-1-3,0,-3,-7,-5,-8,-9,93,77,55,1030,1029,1027,10,8,7,14,6,45,0.00,2,,31<br />
2002-1-4,-4,-7,-10,-7,-9,-11,100,86,74,1036,1033,1030,10,8,4,8,3,,0.00,5,,340<br />
2002-1-5,-4,-7,-8,-5,-6,-8,100,98,93,1037,1037,1035,3,2,1,6,2,,0.00,7,Fog-Snow,27<br />
2002-1-6,-4,-6,-7,-5,-6,-8,100,98,93,1037,1035,1032,2,1,1,10,3,,0.00,7,Fog-Snow,321<br />
2002-1-7,0,-3,-7,-2,-4,-7,100,90,80,1032,1029,1026,7,3,2,16,6,,0.00,6,,27<br />
2002-1-8,0,-2,-5,-3,-4,-6,100,89,75,1035,1032,1027,7,5,2,6,2,,0.00,5,,148<br />
2002-1-9,-2,-3,-4,-4,-4,-5,100,92,80,1038,1038,1035,3,2,1,8,3,,0.00,7,Fog-Snow,263<br />
2002-1-10,-2,-4,-6,-4,-6,-7,100,92,80,1038,1036,1035,3,2,2,6,3,,0.00,7,Snow,285<br />
2002-1-11,-1,-3,-6,-4,-6,-7,100,90,80,1036,1035,1034,5,2,1,8,5,,0.00,7,,221<br />
2002-1-12,2,-1,-4,0,-3,-5,100,91,80,1035,1033,1032,5,3,0,8,3,,0.00,5,Fog-Rain-Snow,280<br />
2002-1-13,0,-1,-2,-1,-2,-3,100,96,86,1032,1030,1028,3,2,0,8,3,,0.00,8,Fog,54<br />
2002-1-14,-1,-2,-3,-2,-3,-3,100,93,86,1028,1027,1026,5,4,2,10,5,,0.00,8,Snow,67<br />
2002-1-15,-2,-3,-3,-2,-3,-4,100,94,86,1026,1021,1017,4,3,2,11,5,,0.00,8,Snow,236<br />
2002-1-16,1,-1,-3,-1,-3,-5,100,87,75,1025,1021,1018,5,3,2,10,5,,0.00,6,Snow,161<br />
2002-1-17,1,0,-1,-1,-1,-2,100,91,81,1025,1024,1023,6,4,2,8,3,,0.00,7,,2<br />
